ID,Texto,Ruta_Audio,Num_Palabras,Num_Caracteres,Contiene_Python,Clasificaciones
1,Cuál es la capital de China,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_1.wav,6,27,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
2,Cómo se juega,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_2.wav,3,13,0,"['Esdrújula', 'Grave', 'Grave']"
3,Cómo se juega al tenis,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_3.wav,5,22,0,"['Esdrújula', 'Grave', 'Grave', 'Aguda', 'Grave']"
4,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_4.wav,1,4,0,['Grave']
5,Cuál es la capital de Italia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_5.wav,6,28,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
6,Cuál es la capital de India,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_6.wav,6,27,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
7,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_7.wav,1,4,0,['Grave']
8,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_8.wav,1,4,0,['Grave']
9,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_9.wav,1,4,0,['Grave']
10,Hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_10.wav,1,4,0,['Grave']
11,adiós,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_11.wav,1,5,0,['Grave']
12,Cuántas veces cabe el 5 en el,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_12.wav,7,29,0,"['Esdrújula', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Aguda']"
13,pues ya aquí ya le puedes decir la capital de Croacia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_13.wav,11,53,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Aguda', 'Grave', 'Grave']"
14,5 por 5 a la,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_14.wav,5,12,0,"['Grave', 'Aguda', 'Grave', 'Grave', 'Grave']"
15,Hola hola amor,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_15.wav,3,14,0,"['Grave', 'Grave', 'Aguda']"
16,Hola amor,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_16.wav,2,9,0,"['Grave', 'Aguda']"
17,Cuánto es 5 * 5,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_17.wav,5,15,0,"['Esdrújula', 'Grave', 'Grave', 'Grave']"
18,a este ruido Bueno aquí le dices algo pero Hola Me escuchas,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_18.wav,12,59,0,"['Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
19,eh dime Cuánto es 500 por 1000 no está muy,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_19.wav,10,42,0,"['Aguda', 'Grave', 'Esdrújula', 'Grave', 'Aguda', 'Aguda', 'Aguda', 'Grave', 'Aguda', 'Aguda']"
20,mmm Dime qué estrategias tiene la agenda 2030 de la ONU eh En referencia al,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_20.wav,15,75,0,"['Aguda', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Aguda', 'Aguda', 'Grave', 'Grave', 'Aguda']"
21,Ahora sí este Este dime una receta de comida mexicana o algo así inteligencia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_21.wav,14,77,0,"['Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Aguda', 'Grave']"
22,se conectan,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_22.wav,2,11,0,"['Grave', 'Grave']"
23,Hola hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_23.wav,2,9,0,"['Grave', 'Grave']"
24,Hola señor no muertos eh muerto por sus pagos Aquí también el seguro,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_24.wav,13,68,0,"['Grave', 'Aguda', 'Grave', 'Grave', 'Aguda', 'Grave', 'Aguda', 'Grave', 'Grave', 'Aguda', 'Grave', 'Aguda', 'Grave']"
25,Cuál es el temario de un ingeniero en sistemas,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_25.wav,9,46,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
26,Cuál es el temario de un ingeniero en sistemas,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_26.wav,9,46,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
27,Cuál es el temario de,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_27.wav,5,21,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
28,Cuál es el temario de un ingeniero en sistemas,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_28.wav,9,46,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
29,Qué es inteligencia de,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_29.wav,4,22,0,"['Aguda', 'Grave', 'Grave', 'Grave']"
30,Qué es la inteligencia de,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_30.wav,5,25,0,"['Aguda', 'Grave', 'Grave', 'Grave', 'Grave']"
31,Qué es inteligencia de,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_31.wav,4,22,0,"['Aguda', 'Grave', 'Grave', 'Grave']"
32,Cuál es el deporte más,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_32.wav,5,22,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
33,Cuál es el deporte más famoso,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_33.wav,6,29,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave']"
34,Cuántos sistemas operativos hay,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_34.wav,4,31,0,"['Esdrújula', 'Grave', 'Grave', 'Aguda']"
35,Qué es Windows,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_35.wav,3,14,0,"['Aguda', 'Grave', 'Grave']"
36,Qué es el fútbol,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_36.wav,4,16,0,"['Aguda', 'Grave', 'Aguda', 'Esdrújula']"
37,Qué es el fútbol,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_37.wav,4,16,0,"['Aguda', 'Grave', 'Aguda', 'Esdrújula']"
38,Cuántos colores hay,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_38.wav,3,19,0,"['Esdrújula', 'Grave', 'Aguda']"
39,Qué color le gusta más a la,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_39.wav,7,27,0,"['Aguda', 'Aguda', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
40,Cuánto cuesta una casa,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_40.wav,4,22,0,"['Esdrújula', 'Grave', 'Grave', 'Grave']"
41,Qué es la historia,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_41.wav,4,18,0,"['Aguda', 'Grave', 'Grave', 'Grave']"
42,Qué es él,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_42.wav,3,9,0,"['Aguda', 'Grave', 'Grave']"
43,me refiero a Qué es el internet,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_43.wav,7,31,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Aguda', 'Aguda']"
44,Cuál es el deporte más,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_44.wav,5,22,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
45,Cuál es la mejor selección de fútbol,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_45.wav,7,36,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Esdrújula']"
46,Hola hola,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_46.wav,2,9,0,"['Grave', 'Grave']"
47,Qué día es hoy,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_47.wav,4,14,0,"['Aguda', 'Grave', 'Grave', 'Aguda']"
48,Hola cómo estás,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_48.wav,3,15,0,"['Grave', 'Esdrújula', 'Grave']"
49,De qué color es el sol,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_49.wav,6,22,0,"['Grave', 'Aguda', 'Aguda', 'Grave', 'Aguda', 'Aguda']"
50,cuántos animales hay en,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_50.wav,4,23,0,"['Esdrújula', 'Grave', 'Aguda', 'Grave']"
51,cuántos animales hay,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_51.wav,3,20,0,"['Esdrújula', 'Grave', 'Aguda']"
52,ayudarte animales en América,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_52.wav,4,28,0,"['Grave', 'Grave', 'Grave', 'Esdrújula']"
53,cómo funciona,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_53.wav,2,13,0,"['Esdrújula', 'Grave']"
54,Hala,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_54.wav,1,4,0,['Grave']
55,Hola cómo estás,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_55.wav,3,15,0,"['Grave', 'Esdrújula', 'Grave']"
56,Cuál es la planta más antigua,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_56.wav,6,29,0,"['Grave', 'Grave', 'Grave', 'Grave', 'Grave', 'Grave']"
57,Qué es el ki drama,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_57.wav,5,18,0,"['Aguda', 'Grave', 'Aguda', 'Grave', 'Grave']"
58,Hola cómo estás,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_58.wav,3,15,0,"['Grave', 'Esdrújula', 'Grave']"
59,Cuál es la capital de China,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_59.wav,6,27,0,"['Grave', 'Grave', 'Grave', 'Aguda', 'Grave', 'Grave']"
60,Quién es el presidente de China,/Volumes/KINGSTON/chatbot-flask/archivocsv/audios/audio_60.wav,6,31,0,"['Grave', 'Grave', 'Aguda', 'Grave', 'Grave', 'Grave']"
